Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,06,02,27,00,0.70,0.89,0.74,1.10, 7.5, 6.7, 6.9, 6.8, 165, 10.291,   0.134,   282
22,10,06,04,27,00,0.43,0.70,0.59,0.94, 8.5, 6.2, 5.7, 6.5, 189, 11.543,   0.230,   340
22,10,06,06,27,00,0.37,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 185, 12.595,   0.175,   344
22,10,06,08,27,00,0.45,0.62,0.49,0.84, 7.5, 7.1, 6.3, 7.0, 169, 12.653,   0.056,   109
22,10,06,10,27,00,0.40,0.54,0.44,0.74, 9.8, 7.7, 7.2, 6.8, 189, 11.512,   0.216,   168
22,10,06,12,27,00,0.36,0.47,0.39,0.58, 7.5, 7.6, 7.4, 7.0, 177, 10.296,   0.139,   222
22,10,06,14,27,00,0.50,0.60,0.49,0.79, 6.7, 6.4, 6.7, 6.5, 173, 10.346,   0.131,   287
22,10,06,16,27,00,0.40,0.64,0.51,0.74, 6.7, 5.8, 5.6, 5.9, 161, 11.498,   0.251,   342
22,10,06,18,27,00,0.35,0.51,0.41,0.73, 7.5, 6.4, 5.6, 7.1, 165, 12.674,   0.180,   344
22,10,06,20,27,00,0.41,0.56,0.44,0.81, 6.7, 6.5, 6.1, 7.0, 169, 12.985,   0.029,    76
22,10,06,22,27,00,0.38,0.78,0.68,-0.00, 9.8, 5.4, 5.4,-0.1, 157, 11.963,   0.254,   154
22,10,07,00,27,00,0.25,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 169, 10.301,   0.147,   201
22,10,07,02,27,00,0.30,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 165,  9.914,   0.149,   262
22,10,07,04,27,00,0.35,0.68,0.56,-0.00, 6.1, 5.2, 5.2,-0.1, 161, 10.864,   0.200,   333
22,10,07,06,27,00,0.21,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 185, 12.220,   0.239,   341
22,10,07,08,27,00,0.24,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 237, 12.870,   0.078,   359
22,10,07,10,27,00,0.23,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 257, 12.243,   0.186,   137
22,10,07,12,27,00,0.32,0.60,0.52,0.75, 7.5, 6.8, 6.0, 7.3, 189, 10.705,   0.175,   186
22,10,07,14,27,00,0.24,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 177,  9.977,   0.123,   257
22,10,07,16,27,00,0.27,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 177, 10.758,   0.173,   331
22,10,07,18,27,00,0.28,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 169, 12.203,   0.258,   339
22,10,07,20,27,00,0.39,0.54,0.44,0.78, 7.5, 5.8, 4.9, 7.9, 173, 13.092,   0.161,   352
22,10,07,22,27,00,0.40,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 209, 12.633,   0.174,   137
22,10,08,00,27,00,0.38,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 189, 11.016,   0.235,   181
