Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,05,12,19,06,0.72,0.93,0.77,1.10, 8.5, 6.8, 6.5, 7.3, 174, 12.594,   0.079,   220
22,10,05,14,19,06,0.71,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 157, 13.118,   0.211,   296
22,10,05,16,19,06,0.53,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 175, 14.512,   0.237,   299
22,10,05,18,19,06,0.75,0.93,0.74,1.27, 8.5, 7.4, 6.6, 7.6, 184, 15.369,   0.099,   302
22,10,05,20,19,06,0.76,1.20,0.97,1.46, 8.5, 7.0, 6.4, 8.4, 166, 15.090,   0.192,   119
22,10,05,22,19,06,0.58,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 166, 13.588,   0.246,   142
22,10,06,00,19,06,0.47,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 166, 12.430,   0.098,   184
22,10,06,02,19,06,0.60,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 173, 12.546,   0.150,   281
22,10,06,04,19,06,0.50,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 170, 13.819,   0.276,   302
22,10,06,06,19,06,0.46,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 170, 14.944,   0.161,   296
22,10,06,08,19,06,0.59,0.79,0.63,1.06, 7.5, 7.2, 6.4, 6.6, 169, 15.084,   0.076,   119
22,10,06,10,19,06,0.52,0.77,0.65,0.84, 8.5, 6.9, 6.3, 6.9, 146, 14.005,   0.241,   136
22,10,06,12,19,06,0.49,0.66,0.53,0.87, 7.5, 7.6, 7.3, 6.9, 169, 12.664,   0.166,   170
22,10,06,14,19,06,0.51,0.60,0.50,0.80, 7.5, 6.4, 6.6, 6.4, 170, 12.599,   0.156,   281
22,10,06,16,19,06,0.39,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 166, 13.753,   0.329,   307
22,10,06,18,19,06,0.36,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 170, 15.006,   0.216,   297
22,10,06,20,19,06,0.46,0.61,0.48,0.84, 7.5, 6.6, 5.9, 7.0, 157, 15.422,   0.037,   137
22,10,06,22,19,06,0.28,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 162, 14.471,   0.281,   122
22,10,07,00,19,06,0.22,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 154, 12.708,   0.183,   150
22,10,07,02,19,06,0.27,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 188, 12.212,   0.114,   234
22,10,07,04,19,06,0.32,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 184, 12.995,   0.293,   300
22,10,07,06,19,06,0.25,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 174, 14.519,   0.266,   304
22,10,07,08,19,06,0.27,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 178, 15.278,   0.074,   316
22,10,07,10,19,06,0.24,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 162, 14.741,   0.195,   116
22,10,07,12,19,06,0.18,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 162, 13.066,   0.192,   138
22,10,07,14,19,06,0.22,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 170, 12.304,   0.092,   211
22,10,07,16,19,06,0.35,0.58,0.46,-0.00, 6.1, 5.8, 5.7,-0.1, 158, 12.919,   0.249,   295
22,10,07,18,19,06,0.29,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 184, 14.478,   0.264,   300
22,10,07,20,19,06,0.49,0.61,0.49,0.85, 7.5, 6.2, 5.2, 6.9, 188, 15.464,   0.136,   310
22,10,07,22,19,06,0.52,0.68,0.55,0.95, 7.5, 6.8, 6.3, 7.0, 170, 15.131,   0.215,   108
22,10,08,00,19,06,0.30,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 174, 13.427,   0.278,   135
22,10,08,02,19,06,0.30,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 178, 12.165,   0.195,   188
22,10,08,04,19,06,0.38,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 174, 12.516,   0.198,   273
22,10,08,06,19,06,0.57,0.82,0.69,1.08, 6.7, 4.7, 4.4, 5.6, 169, 13.976,   0.315,   304
22,10,08,08,19,06,0.42,0.54,0.44,0.72, 5.6, 5.3, 4.9, 4.6, 206, 15.211,   0.197,   307
22,10,08,10,19,06,0.53,0.64,0.53,0.88, 5.6, 4.9, 4.7, 5.8, 213, 15.242,   0.150,   115
22,10,08,12,19,06,0.27,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 183, 13.820,   0.317,   143
22,10,08,14,19,06,0.26,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 161, 12.347,   0.205,   182
22,10,08,16,19,06,0.29,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 326, 12.375,   0.203,   251
22,10,08,18,19,06,0.29,-0.00,-0.00,-0.00, 5.6,-0.1,-0.1,-0.1, 173, 13.780,   0.318,   304
